Code,Name,Latitude,Longitude
ST-500, 어린이대공원역 3번출구 앞,37.54706955,127.0742722
ST-501, 광진구의회 앞,37.53730774,127.0703507
ST-502, 뚝섬유원지역 1번출구 앞,37.53186035,127.0671921
ST-505, 자양사거리 광진아크로텔 앞,37.53701019,127.0822449
ST-515, 광양중학교 앞,37.53023529,127.0868301
ST-516, 광진메디칼 앞,37.54840469,127.0693665
ST-539, 군자교교차로,37.55979538,127.0742035
ST-540, 군자역 7번출구 베스트샵 앞,37.55603027,127.0786438
ST-542, 강변역 4번출구 뒤,37.53582382,127.094162
ST-543, 구의공원(테크노마트 앞),37.53596878,127.0946732
ST-544, 광남중학교,37.54072952,127.1029053
ST-546, 잠실대교북단 교차로,37.53247833,127.0850906
ST-548, 자양나들목,37.5297699,127.0748596
ST-549, 아차산역 3번출구,37.55122375,127.0897064
ST-551, 구의삼성쉐르빌 앞,37.54006195,127.0944977
ST-552, 대림아크로리버 앞,37.53657913,127.0929718
ST-553, 중곡 성원아파트 앞,37.57125473,127.0798035
ST-555, 구의3동주민센터,37.53784943,127.0921707
ST-571, 세종대학교 대양AI센터,37.55039597,127.0758591
ST-573, 구의문주차장 앞,37.54523087,127.0847321
ST-574, 아차산역4번출구,37.55184937,127.0889816
ST-575, 대원중고교 입구(대하빌딩),37.56429291,127.086937
ST-576, 광나루역 3번 출구,37.54483032,127.1042633
ST-577, 광진청소년수련관,37.54654694,127.1061325
ST-584, 광진광장 교통섬,37.54782867,127.0726318
ST-588, 뚝섬 유원지역,37.53268814,127.0674973
ST-590, 건국대학교 (입학정보관),37.53989029,127.0733643
ST-591, 건국대학교 (행정관),37.54277802,127.0753708
ST-592, 건국대학교 학생회관,37.54191208,127.0776367
ST-593,자양중앙나들목,37.52858734,127.0778732
